PC1,PC2,Cluster
-1323.868382965403,-8.331694754588543,2
-1259.8610688526064,-8.584156003572437,2
-1323.868382965403,-8.331694754588543,2
-1321.1826719476112,-7.384927837718777,2
-696.312416660935,-11.61135851978988,2
-1169.329248279793,6.632509673620149,2
-1323.868382965403,-8.331694754588543,2
-1323.868382965403,-8.331694754588543,2
-1286.85590480871,-8.056225324038953,2
-585.970424804666,-20.76398375061811,2
-928.9048225770642,-14.057322806601368,2
-915.9030663181824,-1.3214108662616315,2
-1043.3047092402571,-7.823046560020725,2
-1225.7893577846548,-5.253499992805112,2
-1255.8618338961464,-8.662367956095917,2
397.5568058173988,-18.01518653116448,0
-1323.868382965403,-8.331694754588543,2
-988.731139143788,-2.8948553998619886,2
-1291.8549485042847,-7.958460383384605,2
1657.0996206444509,-47.64394086630293,0
-1187.5908836661129,-4.002030459370119,2
-1323.8488295288869,-7.332832974953035,2
-1218.8493567284206,-8.386945759995367,2
-1308.8516970692388,-7.626059585159819,2
-1323.868382965403,-8.331694754588543,2
-1167.8200041989212,-7.386426693108113,2
-123.36908836717544,3.1641089187959945,2
-1247.824257309442,-6.821077488320755,2
-1260.8217704307217,-6.566863723190213,2
265.50480967879025,9.090165112223682,0
-1288.8555222869395,-8.017119347777214,2
-1245.8441928765026,-7.859025569115652,2
-1114.271576260333,-5.43592149930902,2
-1140.0608622572718,-2.9331037360583787,2
-943.1869613300764,-2.786315540315953,2
762.9726844119939,1.8180646330340515,0
-935.8057166079184,-8.926144307006432,2
-1007.8114990016765,-8.517177638666602,2
-1260.763110358443,-3.57029037636745,2
-841.8041413989952,-9.765248111259575,2
2769.6421099052222,-42.42203688243905,0
-1301.8334822669397,-6.764058233786946,2
-1013.4872889948996,-0.4122174122176112,2
-1289.855330738087,-7.997550626666007,2
-1235.8265519528477,-7.055688426461957,2
-701.3267709824084,0.477652967365044,2
-1101.256723160088,0.3050023679602933,2
-1243.8445760478924,-7.8981647712828895,2
-522.9926814644316,-14.001663085510335,2
-1323.868382965403,-8.331694754588543,2
-1323.868382965403,-8.331694754588543,2
-1058.5373427208856,-2.528926445070577,2
-1294.8543747216297,-7.899801418991996,2
-1163.8403228805553,-8.46351143837475,2
-1188.1690020769715,-7.98771551464391,2
-1323.868382965403,-8.331694754588543,2
-1323.868382965403,-8.331694754588543,2
-148.53979808068766,10.563441883180912,2
-1219.8296121270089,-7.368536236555874,2
-925.9255268843298,0.8730787934586708,2
-1154.802937019526,-6.641746417116526,2
-923.0081652188288,-9.17644747007218,2
509.836885630596,10.56280700304328,0
-617.2493121982612,-9.160580303573823,2
-1323.868382965403,-8.331694754588543,2
-437.2924519638178,4.383328933716333,2
5672.584254645444,-52.2296165100918,3
-1323.868382965403,-8.331694754588543,2
-421.7084899567477,-8.987742447838619,2
-1323.868382965403,-8.331694754588543,2
-1323.868382965403,-8.331694754588543,2
-1126.1568389731976,6.787432276814043,2
-1280.8570523740202,-8.173543252824173,2
-897.146444977218,-9.682174822469586,2
-1188.8550947469505,-8.97354589257523,2
-735.3542714668177,-4.85235093177486,2
