PC1,PC2,Cluster
-1323.8683829652398,-8.331694754597859,1
-1323.8683829652398,-8.331694754597859,1
-1115.790842825927,-6.405454920533936,1
-1053.8613612417853,-10.61432177762133,1
-1284.278168753946,-4.109635503040369,1
-948.7250164489748,-4.676507467205801,1
-1323.8683829652398,-8.331694754597859,1
-1323.8683829652398,-8.331694754597859,1
-1173.779750251411,-5.2714100882911366,1
-1185.855668529442,-9.03220485696731,1
-986.3156111969712,-8.937570634501819,1
-703.6016740286466,-2.475589934266753,0
-1118.748551356554,3.6448352815821607,1
-1323.8683829652398,-8.331694754597859,1
-1271.8587737218222,-8.3495201460064,1
-674.5079413938357,-9.041123776477647,0
-398.2036386033304,-0.4542293276625262,0
-1290.8551397650062,-7.978013371519882,1
242.42977540656216,-33.96707224944194,0
-1218.8298032437465,-7.388081358191161,1
-1273.7410706230603,-2.3172444975850643,1
-679.4982899297717,-5.944714065939362,0
1329.9173545091503,-20.261197965153077,2
-655.5570072055162,1.4049201156557825,0
-908.8499872930744,-11.45178674164315,1
806.9981142579136,-12.03309811858135,2
-983.3952597300756,3.995497090057116,1
-1296.8539930854051,-7.860738735061692,1
-1108.7335217817483,-3.545762982105458,1
-1161.6842780612849,-0.5117297417934186,1
-1209.8706319039643,-9.561804107915746,1
4160.225611810068,21.313914248271864,3
-1070.858109806739,-10.28192097939655,1
-1323.809722655691,-5.335109415676641,1
-1323.8683829652398,-8.331694754597859,1
-864.9476849528598,8.673757114103617,1
-184.66625944787413,-0.6333498668936155,0
-1005.8807490313249,-3.558708642555084,1
-177.36322808854925,-10.768605617162612,0
-746.7832044114205,-9.625063354140904,1
-1228.7496771767983,-3.1971200913011817,1
-1022.3282796305708,-9.232547062314511,1
-1080.8170904208455,-8.088672783133612,1
-1188.335636844724,-7.984455362672847,1
-806.3406919978094,-3.464091724416825,1
-1282.837116223592,-7.135565008272977,1
-1030.8288677644086,-4.070090257734946,1
-1323.8683829652398,-8.331694754597859,1
-85.61546548815045,-24.553830621432173,0
-1098.2688566299253,-3.750401850989396,1
1011.957535905508,-0.0535251239479723,2
-1310.8317620260716,-6.588137303766304,1
-1101.891288072281,-11.6735281282542,1
-1088.7475538547576,4.0573548058229445,1
-1323.8683829652398,-8.331694754597859,1
693.0102480201792,-42.77892557273312,2
-762.8416538299118,11.673121278595746,1
-1165.6341984224366,-6.429927624016623,1
-1020.10336666846,-6.278307157774371,1
-1298.8340560494312,-6.822717198179067,1
-1281.8568616001864,-8.15401518412694,1
