Autoenc1,Autoenc2,Churn,Cluster
0.0,0.0,1,3
10.627689,2.4890988,0,0
0.0,0.0,1,3
10.627689,2.4890988,0,0
10.758236,3.0469882,0,0
10.9051,3.6746137,0,0
0.0,0.0,1,3
0.0,0.0,1,3
10.627689,2.4890988,0,0
10.644009,2.558835,0,0
10.644009,2.558835,0,0
10.856146,3.4654052,0,0
10.709281,2.8377798,0,0
10.692963,2.7680435,0,0
10.627689,2.4890988,0,0
11.00301,4.093031,0,0
0.0,0.0,1,3
10.807191,3.2561967,0,0
10.627689,2.4890988,0,0
10.921419,3.74435,0,0
10.725599,2.907516,0,0
10.627689,2.4890988,0,0
10.644009,2.558835,0,0
10.627689,2.4890988,0,0
0.0,0.0,1,3
10.676644,2.6983073,0,0
11.182511,4.8601284,0,0
10.660326,2.6285713,0,0
10.660326,2.6285713,0,0
12.924309,0.0,0,0
10.627689,2.4890988,0,0
10.644009,2.558835,0,0
10.725599,2.907516,0,0
10.758236,3.0469882,0,0
10.823509,3.3259327,0,0
11.4436035,5.9759073,0,0
10.725599,2.907516,0,0
10.709281,2.8377798,0,0
10.709281,2.8377798,0,0
10.741918,2.977252,0,0
11.362012,5.627227,0,0
10.644009,2.558835,0,0
10.839828,3.3956692,0,0
10.627689,2.4890988,0,0
10.660326,2.6285713,0,0
10.954056,3.8838224,0,0
10.823509,3.3259327,0,0
10.644009,2.558835,0,0
10.774554,3.1167245,0,0
0.0,0.0,1,3
0.0,0.0,1,3
10.790873,3.1864605,0,0
10.627689,2.4890988,0,0
10.660326,2.6285713,0,0
10.660326,2.6285713,0,0
0.0,0.0,1,3
0.0,0.0,1,3
11.862504,3.030563,0,0
10.660326,2.6285713,0,0
10.8887825,3.6048777,0,0
10.692963,2.7680435,0,0
10.725599,2.907516,0,0
12.617139,1.7092731,0,0
10.823509,3.3259327,0,0
0.0,0.0,1,3
11.771974,1.7871089,0,0
12.128971,8.904827,0,0
0.0,0.0,1,3
10.8887825,3.6048777,0,0
0.0,0.0,1,3
0.0,0.0,1,3
10.921419,3.74435,0,0
10.627689,2.4890988,0,0
10.725599,2.907516,0,0
10.644009,2.558835,0,0
10.856146,3.4654052,0,0
11.688179,4.234826,0,0
10.627689,2.4890988,0,0
0.0,0.0,1,3
0.0,0.0,1,3
10.709281,2.8377798,0,0
10.660326,2.6285713,0,0
10.692963,2.7680435,0,0
10.790873,3.1864605,0,0
0.0,0.0,1,3
0.0,0.0,1,3
10.709281,2.8377798,0,0
10.644009,2.558835,0,0
10.709281,2.8377798,0,0
10.9051,3.6746137,0,0
10.872464,3.5351415,0,0
0.0,0.0,1,3
10.627689,2.4890988,0,0
11.168633,3.136847,0,0
11.035646,4.232503,0,0
10.627689,2.4890988,0,0
10.692963,2.7680435,0,0
10.660326,2.6285713,0,0
10.725599,2.907516,0,0
10.856146,3.4654052,0,0
11.264103,5.20881,0,0
11.4887295,1.9516897,0,0
10.692963,2.7680435,0,0
11.231466,5.069337,0,0
10.921419,3.74435,0,0
10.627689,2.4890988,0,0
10.758236,3.0469882,0,0
10.790873,3.1864605,0,0
10.627689,2.4890988,0,0
12.846974,11.973219,0,0
10.660326,2.6285713,0,0
10.660326,2.6285713,0,0
0.0,0.0,1,3
11.035646,4.232503,0,0
11.10092,4.511448,0,0
10.790873,3.1864605,0,0
10.9377365,3.8140862,0,0
10.774554,3.1167245,0,0
10.725599,2.907516,0,0
10.692963,2.7680435,0,0
10.692963,2.7680435,0,0
10.660326,2.6285713,0,0
10.856146,3.4654052,0,0
10.644009,2.558835,0,0
10.774554,3.1167245,0,0
0.0,0.0,1,3
10.741918,2.977252,0,0
10.758236,3.0469882,0,0
11.4925585,6.185116,0,0
10.644009,2.558835,0,0
10.627689,2.4890988,0,0
10.8887825,3.6048777,0,0
0.0,0.0,1,3
10.692963,2.7680435,0,0
11.117238,4.581184,0,0
10.692963,2.7680435,0,0
10.741918,2.977252,0,0
10.644009,2.558835,0,0
10.627689,2.4890988,0,0
10.8887825,3.6048777,0,0
0.0,0.0,1,3
10.741918,2.977252,0,0
10.774554,3.1167245,0,0
0.0,0.0,1,3
10.774554,3.1167245,0,0
10.644009,2.558835,0,0
10.644009,2.558835,0,0
10.660326,2.6285713,0,0
11.051965,4.3022394,0,0
10.774554,3.1167245,0,0
10.921419,3.74435,0,0
0.0,0.0,1,3
10.660326,2.6285713,0,0
10.9051,3.6746137,0,0
10.741918,2.977252,0,0
10.9377365,3.8140862,0,0
0.0,0.0,1,3
10.692963,2.7680435,0,0
10.970373,3.9535584,0,0
11.166193,4.7903924,0,0
10.986692,4.0232944,0,0
10.692963,2.7680435,0,0
10.970373,3.9535584,0,0
10.790873,3.1864605,0,0
10.676644,2.6983073,0,0
10.676644,2.6983073,0,0
10.774554,3.1167245,0,0
10.921419,3.74435,0,0
10.856146,3.4654052,0,0
10.872464,3.5351415,0,0
10.644009,2.558835,0,0
0.0,0.0,1,3
11.068283,4.3719754,0,0
10.807191,3.2561967,0,0
10.709281,2.8377798,0,0
10.954056,3.8838224,0,0
10.692963,2.7680435,0,0
10.872464,3.5351415,0,0
0.0,0.0,1,3
0.0,0.0,1,3
10.725599,2.907516,0,0
9.583003,3.7852244,0,0
9.80312,2.8023887,0,0
10.088869,5.947046,0,0
11.002692,9.852271,0,0
10.253852,6.2391877,0,0
11.805145,1.9739909,0,0
9.272956,2.4602373,0,0
9.762504,4.5523224,0,0
9.436138,3.157599,0,0
9.289274,2.5299733,0,0
9.599321,3.8549607,0,0
10.83951,9.154909,0,0
11.689694,4.7074,0,0
9.501411,3.4365437,0,0
13.551782,0.0,0,0
13.861425,0.0,0,0
14.715408,0.0,0,0
9.321911,2.6694458,0,0
10.256933,3.3373168,0,0
9.289274,2.5299735,0,0
9.452456,3.2273352,0,0
10.2732525,3.407053,0,0
11.254589,0.0,0,0
10.077433,2.5702188,0,0
10.077433,2.5702188,0,0
9.370865,2.8786542,0,0
9.3545475,2.808918,0,0
9.468775,3.2970712,0,0
9.272956,2.4602373,0,0
9.419821,3.0878627,0,0
9.485093,3.3668075,0,0
9.599321,3.8549607,0,0
9.338228,2.7391818,0,0
9.811459,4.761531,0,0
9.436138,3.157599,0,0
9.289274,2.5299735,0,0
10.553293,0.0,0,0
9.321911,2.6694458,0,0
9.305593,2.5997095,0,0
10.077433,2.5702188,0,0
9.713549,4.343114,0,0
9.272956,2.460237,0,0
9.958323,5.3891563,0,0
9.387184,2.9483902,0,0
10.033834,1.3803463,0,0
9.550366,3.6457522,0,0
10.301481,5.1259465,0,0
9.697231,4.2733774,0,0
9.387184,2.9483902,0,0
10.745338,3.4117882,0,0
9.566685,3.7154884,0,0
9.485093,3.3668075,0,0
9.762504,4.5523224,0,0
9.89305,5.110212,0,0
9.387184,2.9483902,0,0
9.501411,3.4365437,0,0
10.219416,6.5049353,0,0
9.631958,3.994433,0,0
9.550366,3.6457522,0,0
9.713549,4.343114,0,0
9.3545475,2.808918,0,0
9.746185,4.482586,0,0
9.468775,3.2970712,0,0
9.4035015,3.0181265,0,0
10.1539135,5.1648226,0,0
10.431553,7.411505,0,0
10.039915,5.7378373,0,0
9.534048,3.576016,0,0
9.272956,2.4602373,0,0
9.321911,2.6694458,0,0
9.272956,2.4602373,0,0
9.61564,3.924697,0,0
9.289274,2.5299735,0,0
9.387184,2.9483902,0,0
9.974642,5.458893,0,0
10.093751,2.639955,0,0
9.51773,3.5062797,0,0
0.0,0.0,1,3
10.007702,3.4726226,0,0
9.387184,2.9483902,0,0
9.729868,4.41285,0,0
11.826586,0.6963773,0,0
9.566685,3.7154884,0,0
9.321911,2.6694458,0,0
9.485093,3.3668075,0,0
9.338228,2.7391818,0,0
9.485093,3.3668075,0,0
0.0,0.0,1,3
10.207979,3.1281083,0,0
9.990959,5.528629,0,0
9.321911,2.6694458,0,0
9.272956,2.4602373,0,0
10.633524,0.0,0,0
9.534048,3.576016,0,0
9.321911,2.6694458,0,0
9.762504,4.5523224,0,0
9.289274,2.5299735,0,0
11.027173,0.0,0,0
10.307298,5.2362394,0,0
9.338228,2.7391818,0,0
9.436138,3.157599,0,0
9.370865,2.8786542,0,0
0.0,0.0,1,3
9.811459,4.761531,0,0
10.855828,9.224646,0,0
9.305593,2.5997095,0,0
10.088869,5.947046,0,0
